Sample,Facies,Time,NO3_corrected,DOC_corrected,SO4_corrected
A507,T8,100.0,,0.020456509221048264,
A507,T8,108.0,0.05159093497742735,0.021240917182655396,
A507,T8,134.0,0.052177068954284984,0.025338278548264113,
A507,T8,150.0,0.051964754170098174,0.022576854580479006,
A507,T8,170.0,0.05159592528218389,0.02258325695081693,
A508,T3,0.0,0.01795703006070503,0.003810056154059758,
A508,T3,3.0,0.01736045098892081,0.004500383045206071,
A508,T3,5.0,0.01711477641283189,0.005007778280917281,
A508,T3,14.0,0.016367691331171948,0.00457237350330872,
A508,T3,25.0,0.015128582394812507,,
A508,T3,37.0,0.014717653048462093,0.004428584682697565,
A508,T3,51.0,0.014859222209147396,0.0037835665550547035,
A508,T3,65.0,0.01491376658142481,0.004027499289353188,
A508,T3,84.0,0.014822101733569711,,
A508,T3,100.0,,0.00442035303259992,
A508,T3,108.0,0.014567214114275662,0.004377225167752182,
A508,T3,134.0,0.014398420114997031,0.004893605929569352,
A508,T3,150.0,0.01457029170472534,0.004650718122117345,
A508,T3,170.0,0.014631085952992878,0.004515098614916925,
A509,T6,0.0,0.05521954678404983,0.016033008353878726,
A509,T6,3.0,0.05358223245860398,0.013058469075093686,
A509,T6,5.0,0.054909007064443315,0.014755466548136796,
A509,T6,14.0,0.05137359274166404,0.012384659302904649,
A509,T6,25.0,0.04942262483784284,0.012699174243417074,
A509,T6,37.0,0.049554422294861684,0.013583310687301998,
A509,T6,51.0,0.04485114170232511,0.010090050436425023,
A509,T6,65.0,0.04447037092896561,0.011628599247581972,
A509,T6,84.0,0.0439266641108992,,
A509,T6,100.0,,0.012407726591657592,
A509,T6,108.0,0.043271399917811204,0.012062739204015292,
A509,T6,134.0,0.04326090756761197,0.013842046952697938,
A509,T6,150.0,0.04333699402970193,0.013331559363107507,
A509,T6,170.0,0.04323545515680607,0.012986921305362286,
A510,T5,0.0,0.04552996377808568,0.020407335374184935,
A510,T5,3.0,0.04372537064074854,0.019663317938667775,
A510,T5,5.0,0.04523286989363875,0.01821675605570918,
A510,T5,14.0,0.043547553534118356,0.01652014942477206,
A510,T5,25.0,0.04222741078493344,,
A510,T5,37.0,0.04079669338418443,0.01675601681550992,
A510,T5,51.0,0.032634812698227676,0.014708197397753165,
A510,T5,65.0,0.0271618615728482,0.010644545076055176,
A510,T5,84.0,0.026772269851150707,0.012159259892995494,
